Temperatura inicial: 20.00 *C
Umidade inicial: 77.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 20.00 *C, 77.00 %, OFF, OFF
2 s, 19.90 *C, 78.00 %, OFF, OFF
3 s, 19.90 *C, 78.00 %, OFF, OFF
4 s, 19.90 *C, 78.00 %, OFF, OFF
5 s, 19.90 *C, 78.00 %, OFF, OFF
6 s, 19.90 *C, 78.00 %, OFF, OFF
7 s, 19.90 *C, 78.00 %, OFF, OFF
8 s, 19.80 *C, 78.00 %, OFF, OFF
9 s, 19.80 *C, 78.00 %, OFF, OFF
10 s, 19.80 *C, 78.00 %, OFF, OFF
11 s, 19.80 *C, 78.00 %, OFF, OFF
12 s, 19.80 *C, 78.00 %, OFF, OFF
13 s, 19.80 *C, 78.00 %, OFF, OFF
14 s, 19.80 *C, 78.00 %, OFF, OFF
15 s, 19.80 *C, 78.00 %, OFF, OFF
16 s, 19.80 *C, 78.00 %, OFF, OFF
17 s, 19.80 *C, 78.00 %, OFF, OFF
18 s, 19.80 *C, 78.00 %, OFF, OFF
19 s, 19.80 *C, 78.00 %, OFF, OFF
20 s, 19.80 *C, 78.00 %, OFF, OFF
21 s, 19.80 *C, 78.00 %, OFF, OFF
22 s, 19.80 *C, 78.00 %, OFF, OFF
23 s, 19.80 *C, 78.00 %, OFF, OFF
24 s, 19.80 *C, 78.00 %, OFF, OFF
25 s, 19.80 *C, 78.00 %, OFF, OFF
26 s, 19.80 *C, 78.00 %, OFF, OFF
27 s, 19.80 *C, 78.00 %, OFF, OFF
28 s, 19.80 *C, 78.00 %, OFF, OFF
29 s, 19.80 *C, 78.00 %, OFF, OFF
30 s, 19.80 *C, 78.00 %, OFF, OFF
31 s, 19.80 *C, 78.00 %, OFF, OFF
32 s, 19.80 *C, 78.00 %, OFF, OFF
33 s, 19.80 *C, 78.00 %, OFF, OFF
34 s, 19.80 *C, 78.00 %, OFF, OFF
35 s, 19.80 *C, 78.00 %, OFF, OFF
36 s, 19.80 *C, 78.00 %, OFF, OFF
