Temperatura inicial: 14.10 *C
Umidade inicial: 98.00 %
Tempo (s), Temperatura (*C), Umidade (%), LED Temp, LED Hum, Mensagem
1 s, 14.10 *C, 98.00 %, OFF, OFF
2 s, 14.10 *C, 98.00 %, OFF, OFF
3 s, 14.10 *C, 98.00 %, OFF, OFF
4 s, 14.10 *C, 98.00 %, OFF, OFF
5 s, 14.10 *C, 98.00 %, OFF, OFF
6 s, 14.10 *C, 98.00 %, OFF, OFF
7 s, 14.10 *C, 98.00 %, OFF, OFF
8 s, 14.10 *C, 98.00 %, OFF, OFF
9 s, 14.10 *C, 98.00 %, OFF, OFF
10 s, 14.10 *C, 98.00 %, OFF, OFF
11 s, 14.10 *C, 98.00 %, OFF, OFF
12 s, 14.10 *C, 98.00 %, OFF, OFF
13 s, 14.10 *C, 98.00 %, OFF, OFF
14 s, 14.10 *C, 98.00 %, OFF, OFF
15 s, 14.10 *C, 98.00 %, OFF, OFF
16 s, 14.10 *C, 98.00 %, OFF, OFF
17 s, 14.10 *C, 98.00 %, OFF, OFF
18 s, 14.10 *C, 98.00 %, OFF, OFF
19 s, 14.10 *C, 98.00 %, OFF, OFF
20 s, 14.10 *C, 98.00 %, OFF, OFF
21 s, 14.10 *C, 98.00 %, OFF, OFF
22 s, 14.10 *C, 98.00 %, OFF, OFF
23 s, 14.10 *C, 98.00 %, OFF, OFF
24 s, 14.10 *C, 98.00 %, OFF, OFF
25 s, 14.10 *C, 98.00 %, OFF, OFF
26 s, 14.10 *C, 98.00 %, OFF, OFF
27 s, 14.10 *C, 98.00 %, OFF, OFF
28 s, 14.20 *C, 98.00 %, OFF, OFF
29 s, 14.20 *C, 98.00 %, OFF, OFF
30 s, 14.20 *C, 98.00 %, OFF, OFF
31 s, 14.20 *C, 98.00 %, OFF, OFF
32 s, 14.20 *C, 98.00 %, OFF, OFF
33 s, 14.20 *C, 98.00 %, OFF, OFF
34 s, 14.20 *C, 98.00 %, OFF, OFF
35 s, 14.20 *C, 98.00 %, OFF, OFF
36 s, 14.20 *C, 98.00 %, OFF, OFF
37 s, 14.20 *C, 98.00 %, OFF, OFF
38 s, 14.20 *C, 98.00 %, OFF, OFF
39 s, 14.20 *C, 98.00 %, OFF, OFF
40 s, 14.20 *C, 98.00 %, OFF, OFF
41 s, 14.20 *C, 98.00 %, OFF, OFF
42 s, 14.20 *C, 98.00 %, OFF, OFF
43 s, 14.20 *C, 98.00 %, OFF, OFF
44 s, 14.20 *C, 98.00 %, OFF, OFF
45 s, 14.20 *C, 98.00 %, OFF, OFF
46 s, 14.20 *C, 98.00 %, OFF, OFF
47 s, 14.20 *C, 98.00 %, OFF, OFF
48 s, 14.20 *C, 98.00 %, OFF, OFF
49 s, 14.20 *C, 98.00 %, OFF, OFF
50 s, 14.20 *C, 98.00 %, OFF, OFF
51 s, 14.20 *C, 98.00 %, OFF, OFF
52 s, 14.20 *C, 98.00 %, OFF, OFF
53 s, 14.20 *C, 98.00 %, OFF, OFF
54 s, 14.20 *C, 98.00 %, OFF, OFF
55 s, 14.20 *C, 98.00 %, OFF, OFF
56 s, 14.20 *C, 98.00 %, OFF, OFF
57 s, 14.20 *C, 98.00 %, OFF, OFF
58 s, 14.30 *C, 98.00 %, OFF, OFF
59 s, 14.30 *C, 98.00 %, OFF, OFF
60 s, 14.30 *C, 98.00 %, OFF, OFF
61 s, 14.30 *C, 98.00 %, OFF, OFF
62 s, 14.30 *C, 98.00 %, OFF, OFF
63 s, 14.30 *C, 98.00 %, OFF, OFF
64 s, 14.30 *C, 98.00 %, OFF, OFF
65 s, 14.30 *C, 98.00 %, OFF, OFF
66 s, 14.30 *C, 98.00 %, OFF, OFF
67 s, 14.30 *C, 98.00 %, OFF, OFF
68 s, 14.30 *C, 98.00 %, OFF, OFF
69 s, 14.30 *C, 98.00 %, OFF, OFF
70 s, 14.30 *C, 98.00 %, OFF, OFF
71 s, 14.30 *C, 98.00 %, OFF, OFF
72 s, 14.30 *C, 98.00 %, OFF, OFF
73 s, 14.30 *C, 98.00 %, OFF, OFF
74 s, 14.30 *C, 98.00 %, OFF, OFF
75 s, 14.30 *C, 98.00 %, OFF, OFF
76 s, 14.30 *C, 98.00 %, OFF, OFF
77 s, 14.30 *C, 98.00 %, OFF, OFF
78 s, 14.40 *C, 98.00 %, OFF, OFF
79 s, 14.40 *C, 98.00 %, OFF, OFF
81 s, 14.30 *C, 98.00 %, OFF, OFF
82 s, 14.30 *C, 98.00 %, OFF, OFF
83 s, 14.30 *C, 98.00 %, OFF, OFF
84 s, 14.30 *C, 98.00 %, OFF, OFF
85 s, 14.30 *C, 98.00 %, OFF, OFF
86 s, 14.30 *C, 98.00 %, OFF, OFF
87 s, 14.30 *C, 98.00 %, OFF, OFF
88 s, 14.30 *C, 98.00 %, OFF, OFF
89 s, 14.40 *C, 98.00 %, OFF, OFF
90 s, 14.40 *C, 98.00 %, OFF, OFF
91 s, 14.40 *C, 98.00 %, OFF, OFF
92 s, 14.40 *C, 98.00 %, OFF, OFF
93 s, 14.30 *C, 98.00 %, OFF, OFF
94 s, 14.30 *C, 98.00 %, OFF, OFF
95 s, 14.30 *C, 98.00 %, OFF, OFF
96 s, 14.30 *C, 98.00 %, OFF, OFF
97 s, 14.40 *C, 98.00 %, OFF, OFF
98 s, 14.40 *C, 98.00 %, OFF, OFF
99 s, 14.30 *C, 98.00 %, OFF, OFF
100 s, 14.30 *C, 98.00 %, OFF, OFF
101 s, 14.30 *C, 98.00 %, OFF, OFF
102 s, 14.30 *C, 98.00 %, OFF, OFF
103 s, 14.30 *C, 98.00 %, OFF, OFF
104 s, 14.30 *C, 98.00 %, OFF, OFF
105 s, 14.30 *C, 98.00 %, OFF, OFF
106 s, 14.30 *C, 98.00 %, OFF, OFF
107 s, 14.30 *C, 98.00 %, OFF, OFF
108 s, 14.30 *C, 98.00 %, OFF, OFF
109 s, 14.30 *C, 98.00 %, OFF, OFF
110 s, 14.30 *C, 98.00 %, OFF, OFF
111 s, 14.30 *C, 98.00 %, OFF, OFF
112 s, 14.30 *C, 98.00 %, OFF, OFF
113 s, 14.30 *C, 98.00 %, OFF, OFF
114 s, 14.30 *C, 98.00 %, OFF, OFF
115 s, 14.20 *C, 98.00 %, OFF, OFF
116 s, 14.20 *C, 98.00 %, OFF, OFF
117 s, 14.30 *C, 98.00 %, OFF, OFF
118 s, 14.30 *C, 98.00 %, OFF, OFF
119 s, 14.40 *C, 98.00 %, OFF, OFF
120 s, 14.40 *C, 98.00 %, OFF, OFF
121 s, 14.30 *C, 98.00 %, OFF, OFF
122 s, 14.30 *C, 98.00 %, OFF, OFF
123 s, 14.30 *C, 98.00 %, OFF, OFF
124 s, 14.30 *C, 98.00 %, OFF, OFF
125 s, 14.30 *C, 98.00 %, OFF, OFF
126 s, 14.30 *C, 98.00 %, OFF, OFF
127 s, 14.40 *C, 98.00 %, OFF, OFF
128 s, 14.40 *C, 98.00 %, OFF, OFF
129 s, 14.40 *C, 98.00 %, OFF, OFF
130 s, 14.40 *C, 98.00 %, OFF, OFF
131 s, 14.40 *C, 98.00 %, OFF, OFF
132 s, 14.40 *C, 98.00 %, OFF, OFF
133 s, 14.30 *C, 98.00 %, OFF, OFF
134 s, 14.30 *C, 98.00 %, OFF, OFF
135 s, 14.40 *C, 98.00 %, OFF, OFF
136 s, 14.40 *C, 98.00 %, OFF, OFF
137 s, 14.30 *C, 98.00 %, OFF, OFF
138 s, 14.30 *C, 98.00 %, OFF, OFF
