PRODUCT_NAME,ORDER_ID,COSTUMER_NAME,AMOUNT_PRODUCT,ORDER_DATE
Pro 20 3l pot,1,"Tudo para a casa, Lda",15,15-SEP-24
Pro 22 5l pot,1,"Tudo para a casa, Lda",5,15-SEP-24
Pro 17 2l sauce pan,2,Sair de Cena,20,15-SEP-24
Pro 22 5l pot,2,Sair de Cena,10,15-SEP-24
Pro 20 3l pot,3,U Fleku,10,15-SEP-24
Pro 22 5l pot,3,U Fleku,10,15-SEP-24
Pro 17 2l pot,4,"Tudo para a casa, Lda",8,18-SEP-24
Pro 20 3l pot,4,"Tudo para a casa, Lda",24,18-SEP-24
Pro 22 5l pot,4,"Tudo para a casa, Lda",16,18-SEP-24
Pro 22 5l pot,5,Sair de Cena,12,18-SEP-24
Pro 17 2l pot,6,U Fleku,8,18-SEP-24
Pro 17 2l sauce pan,6,U Fleku,16,18-SEP-24
Pro 22 5l pot,7,"Carvalho &amp; Carvalho, Lda",8,21-SEP-24
