PRODUCT_NAME,OPERATION_NUMBER,WS_TYPE_ID
Pro 17 2l pot,1,A4578
Pro 17 2l pot,1,A4588
Pro 17 2l pot,1,A4598
Pro 17 2l pot,2,A4578
Pro 17 2l pot,2,A4588
Pro 17 2l pot,2,A4598
Pro 17 2l pot,3,A4588
Pro 17 2l pot,3,A4598
Pro 17 2l pot,4,A4588
Pro 17 2l pot,5,C5637
Pro 17 2l pot,6,S3271
Pro 17 2l pot,7,Q3547
Pro 17 2l pot,8,A4588
Pro 17 2l pot,8,A4598
Pro 17 2l pot,9,C5637
Pro 17 2l pot,10,T3452
Pro 17 2l pot,11,Q3547
Pro 17 2l pot,12,K3675
Pro 17 2l sauce pan,1,A4588
Pro 17 2l sauce pan,1,A4598
Pro 17 2l sauce pan,2,A4588
Pro 17 2l sauce pan,2,A4598
Pro 17 2l sauce pan,3,C5637
Pro 17 2l sauce pan,4,D9123
Pro 17 2l sauce pan,5,K3675
Pro 20 3l pot,1,A4578
Pro 20 3l pot,1,A4588
Pro 20 3l pot,1,A4598
Pro 20 3l pot,2,A4578
Pro 20 3l pot,2,A4588
Pro 20 3l pot,2,A4598
Pro 20 3l pot,3,A4588
Pro 20 3l pot,3,A4598
Pro 20 3l pot,4,A4588
Pro 20 3l pot,5,C5637
Pro 20 3l pot,6,S3271
Pro 20 3l pot,7,Q3547
Pro 20 3l pot,8,A4588
Pro 20 3l pot,8,A4598
Pro 20 3l pot,9,C5637
Pro 20 3l pot,10,T3452
Pro 20 3l pot,11,Q3547
Pro 20 3l pot,12,K3675
Pro 22 5l pot,1,A4578
Pro 22 5l pot,1,A4588
Pro 22 5l pot,1,A4598
Pro 22 5l pot,2,A4578
Pro 22 5l pot,2,A4588
Pro 22 5l pot,2,A4598
Pro 22 5l pot,3,A4588
Pro 22 5l pot,3,A4598
Pro 22 5l pot,4,A4588
Pro 22 5l pot,5,C5637
Pro 22 5l pot,6,S3271
Pro 22 5l pot,7,Q3547
Pro 22 5l pot,8,A4588
Pro 22 5l pot,8,A4598
Pro 22 5l pot,9,C5637
Pro 22 5l pot,10,T3452
Pro 22 5l pot,11,Q3547
Pro 22 5l pot,12,K3675
