WS_ID,WORKSTATION_TYPEWS_TYPE_ID,NAME,DESCRIPTION
9875,A4578,Press 01,220-630t cold forging press
9886,A4578,Press 02,220-630t cold forging press
9847,A4588,Press 03,220-630t precision cold forging press
9855,A4588,Press 04,160-1000t precision cold forging press
8541,S3271,Rivet 02,Rivet station
8543,S3271,Rivet 03,Rivet station
6814,K3675,Packaging 01,Packaging station
6815,K3675,Packaging 02,Packaging station
6816,K3675,Packaging 03,Packaging station
6821,K3675,Packaging 04,Packaging station
6822,K3676,Packaging 05,Packaging station
8167,D9123,Welding 01,Spot welding station
8170,D9123,Welding 02,Spot welding station
8171,D9123,Welding 03,Spot welding station
7235,T3452,Assembly 01,Product assembly station
7236,T3452,Assembly 02,Product assembly station
7238,T3452,Assembly 03,Product assembly station
5124,C5637,Trimming 01,Metal trimming station
4123,Q3547,Polishing 01,Metal polishing station
4124,Q3547,Polishing 02,Metal polishing station
4125,Q3547,Polishing 03,Metal polishing station
