OperationOPERATION_ID;PartPARTNUMBER;QUANTITY;UNIT
100;PN52384R50;1;unit
103;IP12945A01;1;unit
103;PN94561L67;5;ml
112;IP12945A02;1;unit
112;PN94561L67;5;ml
114;IP12945A03;1;unit
115;IP12945A04;1;unit
115;PN18544C21;2;unit
120;PN52384R10;1;unit
121;IP12947A01;1;unit
121;PN94561L67;5;ml
122;IP12947A02;1;unit
123;IP12947A03;1;unit
123;PN18324C54;1;unit
124;IP12947A04;1;unit
130;AS12946S22;1;unit
130;AS12947S22;1;unit
150;PN52384R50;1;unit
151;IP12945A01;1;unit
151;PN94561L67;5;ml
152;IP12945A32;1;unit
152;PN94561L67;5;ml
153;IP12945A33;1;unit
154;IP12945A34;1;unit
154;PN18544C21;2;unit
160;PN52384R10;1;unit
161;IP12947A01;1;unit
161;PN94561L67;5;ml
162;IP12947A32;1;unit
163;IP12947A33;1;unit
163;PN18324C51;1;unit
164;IP12947A34;1;unit
170;AS12946S20;1;unit
170;AS12947S20;1;unit
