ActivKey,descr,duration,duration-unit,tot-cost,predecessors
A1,Start project,1,days,0,
A2,Task A2,2,days,5536,A1
A3,Task A3,9,days,6600,"A1,A2"
A4,Task A4,1,days,6337,A2
A5,Task A5,8,days,4861,"A2,A3,A1"
A6,Task A6,8,days,5452,"A4,A1,A2"
A7,Task A7,9,days,4397,"A3,A2"
A8,Task A8,7,days,6419,A1
A9,Task A9,10,days,8471,"A3,A4,A2"
A10,Task A10,5,days,1450,"A1,A9,A7"
A11,Task A11,10,days,2927,"A1,A4"
A12,Task A12,1,days,6827,"A4,A11,A8"
A13,Task A13,10,days,8248,"A9,A8"
A14,Task A14,9,days,5588,"A2,A9"
A15,Task A15,9,days,3404,"A2,A13"
A16,Task A16,3,days,6043,"A15,A2"
A17,Task A17,10,days,1891,"A9,A1,A11"
A18,Task A18,10,days,3169,"A3,A14,A6"
A19,Task A19,10,days,5423,A6
A20,Task A20,3,days,1330,"A19,A13"
A21,Task A21,5,days,6760,"A10,A2,A3"
A22,Task A22,9,days,7631,A10
A23,Task A23,7,days,2551,A13
A24,Task A24,5,days,8556,A13
A25,Task A25,4,days,7986,"A12,A8,A6"
A26,Task A26,6,days,9096,A18
A27,Task A27,2,days,4361,"A16,A11,A1"
A28,Task A28,4,days,4417,"A24,A8,A17"
A29,Task A29,10,days,9070,"A25,A14"
A30,Task A30,3,days,6141,A16
A31,Task A31,3,days,6801,"A16,A24"
A32,Task A32,10,days,4310,"A1,A11"
A33,Task A33,3,days,8830,"A27,A4,A19"
A34,Task A34,1,days,8359,"A32,A10,A1"
A35,Task A35,7,days,6835,A20
A36,Task A36,9,days,7701,"A17,A29"
A37,Task A37,10,days,8736,"A34,A26,A18"
A38,Task A38,6,days,4511,"A33,A17"
A39,Task A39,1,days,3711,"A3,A13,A36"
A40,Task A40,1,days,3764,"A23,A8"
A41,Task A41,10,days,6588,"A15,A20,A30"
A42,Task A42,10,days,5958,A41
A43,Task A43,9,days,4257,A11
A44,Task A44,1,days,7543,"A42,A24"
A45,Task A45,3,days,2048,"A25,A11,A7"
A46,Task A46,4,days,1302,"A23,A25"
A47,Task A47,10,days,6923,A19
A48,Task A48,7,days,8492,"A47,A27,A8"
A49,Task A49,8,days,2117,"A37,A10"
A50,Task A50,5,days,9965,A47
A51,Task A51,7,days,9777,A18
A52,Task A52,8,days,6680,A6
A53,Task A53,3,days,6568,"A48,A9,A13"
A54,Task A54,2,days,8837,"A34,A24,A18"
A55,Task A55,10,days,2874,"A32,A33,A42"
A56,Task A56,10,days,6793,"A2,A37"
A57,Task A57,7,days,9485,"A53,A17"
A58,Task A58,5,days,2782,"A8,A2"
A59,Task A59,5,days,2479,"A28,A56,A3"
A60,Task A60,6,days,4102,"A55,A10,A40"
A61,Task A61,2,days,9576,A45
A62,Task A62,1,days,9708,"A20,A19"
A63,Task A63,4,days,2756,"A23,A54"
A64,Task A64,1,days,5314,A22
A65,Task A65,6,days,7618,"A6,A60"
A66,Task A66,1,days,2903,A52
A67,Task A67,9,days,9276,"A32,A28,A11"
A68,Task A68,5,days,4160,A61
A69,Task A69,2,days,3935,"A28,A25"
A70,Task A70,1,days,3394,A48
A71,Task A71,1,days,3495,"A33,A7,A41"
A72,Task A72,5,days,3390,A24
A73,Task A73,5,days,3358,"A58,A65"
A74,Task A74,6,days,2307,A9
A75,Task A75,4,days,6870,A38
A76,Task A76,7,days,8296,"A6,A52,A14"
A77,Task A77,7,days,1873,"A9,A30,A42"
A78,Task A78,9,days,4001,A51
A79,Task A79,2,days,8713,"A3,A68"
A80,Task A80,7,days,8661,"A64,A18"
A81,Task A81,9,days,9788,A64
A82,Task A82,7,days,4033,A13
A83,Task A83,3,days,3520,"A34,A11,A12"
A84,Task A84,2,days,2779,"A67,A54"
A85,Task A85,1,days,1705,"A12,A56"
A86,Task A86,4,days,2341,"A62,A61"
A87,Task A87,9,days,6638,A76
A88,Task A88,4,days,8768,"A38,A51,A15"
A89,Task A89,1,days,8559,"A33,A82,A3"
A90,Task A90,6,days,2815,"A85,A18,A83"
A91,Task A91,9,days,4111,"A37,A31"
A92,Task A92,1,days,3338,"A39,A50,A33"
A93,Task A93,10,days,5718,"A6,A28,A18"
A94,Task A94,10,days,2531,A50
A95,Task A95,9,days,3358,"A7,A65,A63"
A96,Task A96,3,days,3304,"A59,A41"
A97,Task A97,10,days,8626,A55
A98,Task A98,7,days,9034,"A1,A90"
A99,Task A99,5,days,1774,A65
A100,Task A100,6,days,9571,"A37,A15"
A101,Task A101,3,days,9827,A20
A102,Task A102,2,days,4464,A47
A103,Task A103,7,days,8340,"A38,A47"
A104,Task A104,10,days,1669,"A21,A79,A29"
A105,Task A105,1,days,9980,"A13,A86"
A106,Task A106,3,days,3764,A30
A107,Task A107,7,days,5224,"A60,A44"
A108,Task A108,2,days,6249,A76
A109,Task A109,3,days,5067,"A87,A55"
A110,Task A110,1,days,3684,"A6,A106"
A111,Task A111,1,days,5139,"A39,A56,A71"
A112,Task A112,4,days,3567,"A61,A93"
A113,Task A113,7,days,3432,A71
A114,Task A114,6,days,7334,A36
A115,Task A115,1,days,3423,"A99,A102,A79"
A116,Task A116,3,days,3349,"A53,A52"
A117,Task A117,5,days,4102,"A51,A87,A44"
A118,Task A118,1,days,7347,"A85,A1,A94"
A119,Task A119,4,days,7706,"A82,A108,A34"
A120,Task A120,4,days,8547,A58
A121,Task A121,6,days,3148,"A88,A103"
A122,Task A122,1,days,1212,A80
A123,Task A123,5,days,7144,"A32,A24"
A124,Task A124,6,days,2626,A74
A125,Task A125,8,days,2278,A97
A126,Task A126,4,days,8683,"A63,A60,A104"
A127,Task A127,9,days,1231,"A43,A95,A66"
A128,Task A128,2,days,1697,"A84,A68"
A129,Task A129,3,days,3831,"A16,A69"
A130,Task A130,1,days,7473,A70
A131,Task A131,8,days,8095,A102
A132,Task A132,9,days,2351,"A15,A21,A116"
A133,Task A133,3,days,1169,"A99,A117,A102"
A134,Task A134,9,days,3594,"A4,A35,A39"
A135,Task A135,4,days,4770,"A94,A21,A119"
A136,Task A136,1,days,3006,"A124,A73"
A137,Task A137,2,days,2482,"A34,A79,A4"
A138,Task A138,9,days,4500,A87
A139,Task A139,8,days,8486,"A14,A74,A115"
A140,Task A140,6,days,4206,A90
A141,Task A141,1,days,6311,"A36,A27"
A142,Task A142,10,days,9062,"A47,A2,A35"
A143,Task A143,5,days,8361,"A100,A114"
A144,Task A144,9,days,2245,"A64,A1,A34"
A145,Task A145,1,days,7385,"A105,A88"
A146,Task A146,6,days,2656,"A2,A132"
A147,Task A147,7,days,8659,"A121,A137"
A148,Task A148,8,days,8167,"A103,A129,A29"
A149,Task A149,6,days,4347,A25
A150,Task A150,4,days,2950,"A97,A24,A106"
A151,Task A151,7,days,1316,A9
A152,Task A152,6,days,8671,A4
A153,Task A153,4,days,6232,A103
A154,Task A154,5,days,7966,"A40,A13,A136"
A155,Task A155,7,days,6126,A135
A156,Task A156,7,days,5266,"A59,A49,A55"
A157,Task A157,5,days,3865,A73
A158,Task A158,9,days,6455,A128
A159,Task A159,4,days,8910,"A37,A32"
A160,Task A160,8,days,5083,A67
A161,Task A161,6,days,7290,A49
A162,Task A162,9,days,8180,A110
A163,Task A163,9,days,7268,"A41,A39,A107"
A164,Task A164,3,days,5657,"A66,A96,A84"
A165,Task A165,2,days,5461,A95
A166,Task A166,8,days,8539,"A48,A30"
A167,Task A167,10,days,6962,"A12,A83"
A168,Task A168,1,days,4344,"A89,A126,A22"
A169,Task A169,4,days,8080,"A13,A83"
A170,Task A170,8,days,3442,"A68,A34"
A171,Task A171,3,days,1791,"A6,A41"
A172,Task A172,5,days,3301,"A125,A24"
A173,Task A173,10,days,7631,A17
A174,Task A174,6,days,8199,"A88,A116,A13"
A175,Task A175,8,days,1891,A147
A176,Task A176,1,days,9460,"A135,A109,A2"
A177,Task A177,7,days,2605,A152
A178,Task A178,10,days,1190,"A49,A135,A51"
A179,Task A179,5,days,4868,"A161,A173,A57"
A180,Task A180,9,days,9291,"A136,A63"
A181,Task A181,2,days,2981,"A25,A147"
A182,Task A182,6,days,6190,A134
A183,Task A183,3,days,7846,A19
A184,Task A184,10,days,2667,A109
A185,Task A185,5,days,3973,"A137,A81,A109"
A186,Task A186,3,days,5266,A92
A187,Task A187,2,days,9485,A75
A188,Task A188,6,days,9091,"A76,A134"
A189,Task A189,8,days,6479,"A13,A141,A154"
A190,Task A190,4,days,9997,A26
A191,Task A191,10,days,3224,"A1,A89,A190"
A192,Task A192,7,days,7753,A119
A193,Task A193,10,days,1771,"A188,A11,A87"
A194,Task A194,3,days,4397,A124
A195,Task A195,1,days,7631,A57
A196,Task A196,5,days,2491,A191
A197,Task A197,10,days,9179,A12
A198,Task A198,3,days,9592,"A143,A11"
A199,Task A199,10,days,3122,"A59,A102"
A200,Task A200,1,days,4156,"A12,A25"
A201,Task A201,3,days,2829,"A189,A167"
A202,Task A202,10,days,4728,"A188,A4,A198"
A203,Task A203,4,days,5277,"A18,A158"
A204,Task A204,5,days,1761,"A22,A174"
A205,Task A205,4,days,8261,A74
